Species,SL,Arch.ID,Arch.Length,Oss.Status,Arch.Type
danio,28,cb4,1.39,ossified,cerato
danio,28,cb5,2.144,ossified,cerato
danio,28.6,cb1,2.28,ossified,cerato
danio,28.6,cb2,2.028,ossified,cerato
danio,28.6,cb3,1.801,ossified,cerato
danio,28.6,cb4,1.661,ossified,cerato
danio,28.6,cb5,2.128,ossified,cerato
danio,29.5,cb1,2.067,ossified,cerato
danio,29.5,cb2,1.968,ossified,cerato
danio,29.5,cb3,1.762,ossified,cerato
danio,29.5,cb4,1.352,ossified,cerato
danio,29.5,cb5,1.911,ossified,cerato
danio,30.4,cb1,2.364,ossified,cerato
danio,30.4,cb2,2.098,ossified,cerato
danio,30.4,cb3,2.037,ossified,cerato
danio,30.4,cb4,1.721,ossified,cerato
danio,30.4,cb5,2.495,ossified,cerato
danio,30.5,cb1,2.31,ossified,cerato
danio,30.5,cb2,2.159,ossified,cerato
danio,30.5,cb3,1.915,ossified,cerato
danio,30.5,cb4,1.62,ossified,cerato
danio,30.5,cb5,2.062,ossified,cerato
danio,30.5,cb1,2.597,ossified,cerato
danio,30.5,cb2,2.378,ossified,cerato
danio,30.5,cb3,2.243,ossified,cerato
danio,30.5,cb4,2.069,ossified,cerato
danio,30.5,cb5,2.881,ossified,cerato
danio,31.2,cb1,2.6,ossified,cerato
danio,31.2,cb2,2.343,ossified,cerato
danio,31.2,cb3,2.07,ossified,cerato
danio,31.2,cb4,1.513,ossified,cerato
danio,31.2,cb5,2.452,ossified,cerato
danio,31.5,cb1,2.676,ossified,cerato
danio,31.5,cb2,2.401,ossified,cerato
danio,31.5,cb3,2.268,ossified,cerato
danio,31.5,cb4,1.952,ossified,cerato
danio,31.5,cb5,2.374,ossified,cerato
danio,31.9,cb1,2.562,ossified,cerato
danio,31.9,cb2,2.243,ossified,cerato
danio,31.9,cb3,1.96,ossified,cerato
danio,31.9,cb4,1.483,ossified,cerato
danio,31.9,cb5,2.09,ossified,cerato
danio,32.8,cb1,2.277,ossified,cerato
danio,32.8,cb2,2.031,ossified,cerato
danio,32.8,cb3,1.878,ossified,cerato
danio,32.8,cb4,1.572,ossified,cerato
danio,32.8,cb5,2.357,ossified,cerato
danio,33,cb1,2.746,ossified,cerato
danio,33,cb2,2.464,ossified,cerato
danio,33,cb3,2.166,ossified,cerato
danio,33,cb4,1.65,ossified,cerato
danio,33,cb5,2.451,ossified,cerato
molitrix,15,cb4,3.4,ossified,cerato
molitrix,18,cb4,4.2,ossified,cerato
molitrix,20,cb4,3.6,ossified,cerato
molitrix,25,cb4,5.8,ossified,cerato
molitrix,30,cb4,6.4,ossified,cerato
molitrix,40,cb4,13,ossified,cerato
molitrix,50,cb4,17.3,ossified,cerato
molitrix,40,cb4,9.8,ossified,cerato
molitrix,70,cb4,18.6,ossified,cerato
molitrix,90,cb4,23.4,ossified,cerato
anchoa,10,eb3,0.534,cartilage,epi
anchoa,10,eb3,0.447,cartilage,epi
anchoa,10,eb4,0.409,cartilage,epi
anchoa,10,eb4,0.363,cartilage,epi
anchoa,13,eb3,0.428,cartilage,epi
anchoa,13,eb4,0.356,cartilage,epi
anchoa,18,eb1,1.191,cartilage,epi
anchoa,18,eb2,0.744,cartilage,epi
anchoa,18,eb3,0.5,cartilage,epi
anchoa,19,eb1,0.953,cartilage,epi
anchoa,19,eb2,1.062,cartilage,epi
